39.611500,116.686080;39.626730,116.657070
39.937110,116.444160;39.948520,116.440780
39.946000,116.455510;39.939910,116.445560
39.911860,116.375570;39.899010,116.389790
39.929820,116.490020;39.921680,116.478800
39.954790,116.446490;39.958910,116.451120
39.968050,116.421690;39.967980,116.419620
39.999470,116.452030;39.999580,116.455760
39.886510,116.642360;39.886840,116.642240
39.886540,116.641990;39.886510,116.642360
39.886540,116.641990;39.774070,116.659800
39.872160,116.630110;39.886800,116.642010
39.966990,116.390040;39.975410,116.411450
39.901530,116.367820;39.899910,116.367820
39.911120,116.495500;39.911130,116.495570
39.905650,116.411630;39.905680,116.411570
40.078190,116.581540;40.078150,116.581530
40.006380,116.503360;39.996170,116.492080
39.967600,116.421840;39.944270,116.455470
39.795120,116.474670;39.795240,116.474870
39.146500,117.139470;39.146530,117.139450
40.064130,116.582850;40.050340,116.582620
40.041640,116.250840;40.043080,116.247250
39.998360,116.347070;39.998340,116.347030
40.000010,116.358010;40.000010,116.358000
39.958530,116.296480;39.958520,116.296460
39.979130,116.352550;39.977100,116.352670
40.077540,116.365310;40.077150,116.365390
39.840440,116.380500;39.840660,116.380480
39.934550,116.100870;39.935410,116.100480
39.837160,116.280480;39.829250,116.299860
39.898410,116.375660;39.909830,116.367720
39.914970,116.444130;39.915000,116.444160
39.987650,116.482120;39.987670,116.482100
