39.611500,116.686080;39.626730,116.657070;39.643000,116.619270;39.685280,116.574550;39.722350,116.566760;39.736960,116.550500;39.753950,116.540020;39.773530,116.527250;39.798310,116.499070;39.797700,116.488590;39.799830,116.478550;39.799790,116.478480;39.799500,116.474500;39.799420,116.474520;39.799480,116.474520;39.818860,116.453250;39.829430,116.441650
39.937110,116.444160;39.948520,116.440780;39.946880,116.443080;39.950980,116.451050;39.942620,116.439230;39.939590,116.422900;39.948100,116.422330;39.922480,116.427790;39.921470,116.443710;39.948040,116.431690;39.991220,116.464500;39.965430,116.449510;39.959630,116.478500;39.931210,116.476030;39.932380,116.472050;39.933680,116.455870;39.958480,116.447930
39.946000,116.455510;39.939910,116.445560;39.932720,116.444060;39.939580,116.432530;39.935340,116.443370;39.925590,116.447870;39.939980,116.451190;39.928860,116.455260;39.902810,116.455460;39.863260,116.450630;39.857150,116.422570;39.858650,116.444560;39.865330,116.453870;39.882500,116.471300;39.905900,116.471800;39.928470,116.475040;39.932980,116.484130
39.911860,116.375570;39.899010,116.389790;39.881650,116.392640;39.864630,116.415510;39.885900,116.413310;39.888040,116.368210;39.886960,116.308940;39.879480,116.368040;39.897800,116.368270;39.905370,116.289080;39.904730,116.305000;39.884090,116.304280;39.887700,116.314680;39.895960,116.317780;39.910930,116.328490;39.948560,116.318110;39.985640,116.358600
39.929820,116.490020;39.921680,116.478800;39.921700,116.445660;39.916330,116.439570;39.905120,116.429190;39.906970,116.466360;39.903330,116.523130;39.891950,116.504580;39.906550,116.490250;39.895040,116.483930;39.870200,116.466040;39.881700,116.455260;39.880280,116.441730;39.867800,116.454630;39.846030,116.479650;39.839350,116.505300;39.845250,116.480460
39.954790,116.446490;39.958910,116.451120;39.967610,116.460850;39.970630,116.464660;39.969520,116.464520;39.974230,116.456980;39.983390,116.443190;39.985440,116.439430;39.988330,116.438870;39.993210,116.441610;39.995040,116.446910;39.995600,116.448730;39.996380,116.451530;39.999130,116.451590;39.998890,116.450430;39.998580,116.449140;39.998440,116.449130
39.968050,116.421690;39.967980,116.419620;39.967970,116.418470;39.967840,116.414660;39.967660,116.407920;39.967600,116.405300;39.967370,116.395840;39.967220,116.390250;39.967110,116.387250;39.967020,116.383700;39.966920,116.380100;39.966920,116.378150;39.966860,116.375880;39.966860,116.373790;39.966780,116.371560;39.966710,116.368660;39.966510,116.361570
39.999470,116.452030;39.999580,116.455760;39.999580,116.456170;39.999810,116.456660;40.003360,116.456900;40.003510,116.458380;40.003320,116.458740;40.003380,116.460240;40.010040,116.461240;40.010040,116.461250;40.010030,116.461240;40.010140,116.461130;40.010310,116.457400;40.010310,116.456910;40.010300,116.456900;40.010340,116.455350;40.010380,116.455350
39.886510,116.642360;39.886840,116.642240;39.886540,116.641990;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990
39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240
39.886540,116.641990;39.774070,116.659800;39.886510,116.642360;39.886840,116.642240;39.872160,116.630110;39.886800,116.642010;39.872250,116.630230;39.886540,116.641990;39.774070,116.659800;39.886510,116.642360;39.886840,116.642240;39.872160,116.630110;39.886800,116.642010;39.872250,116.630230;39.886540,116.641990;39.774070,116.659800;39.886510,116.642360
39.872160,116.630110;39.886800,116.642010;39.886540,116.641990;39.774070,116.659800;39.886510,116.642360;39.774070,116.659800;39.886840,116.642240;39.872250,116.630230;39.886540,116.641990;39.886510,116.642360;39.774070,116.659800;39.886840,116.642240;39.872160,116.630110;39.872250,116.630230;39.774070,116.659800;39.886840,116.642240;39.872160,116.630110
39.966990,116.390040;39.975410,116.411450;39.980180,116.427330;39.982120,116.421400;39.967740,116.405080;39.966380,116.339240;39.941070,116.304000;39.895590,116.302240;39.896190,116.335930;39.896350,116.335710;39.889370,116.315660;39.891000,116.304490;39.895500,116.313630;39.893680,116.312930;39.873540,116.343190;39.870680,116.401270;39.852530,116.417490
39.901530,116.367820;39.899910,116.367820;39.898940,116.367880;39.887890,116.380290;39.891530,116.394650;39.905320,116.405250;39.908390,116.411520;39.907470,116.411530;39.906930,116.419430;39.896100,116.454090;39.896090,116.454080;39.896120,116.454170;39.896020,116.450030;39.893780,116.449530;39.892630,116.449560;39.883260,116.454160;39.883000,116.456470
39.911120,116.495500;39.911130,116.495570;39.910820,116.495150;39.910820,116.495120;39.912880,116.495250;39.914550,116.500390;39.914750,116.502140;39.914740,116.502000;39.914740,116.501720;39.915360,116.463400;39.931910,116.455620;39.939940,116.445570;39.939670,116.421370;39.939510,116.410680;39.940020,116.405460;39.940030,116.405460;39.940000,116.405460
39.905650,116.411630;39.905680,116.411570;39.905670,116.411610;39.905620,116.411610;39.899780,116.410840;39.909110,116.410710;39.932170,116.410930;39.952110,116.419160;39.952130,116.419220;39.952530,116.418990;39.952480,116.418980;39.948090,116.423690;39.932270,116.448830;39.926040,116.461340;39.926070,116.461300;39.926060,116.461320;39.932450,116.450880
40.078190,116.581540;40.078150,116.581530;40.078160,116.581530;40.078170,116.581540;40.078160,116.581530;40.078150,116.581580;40.078160,116.581570;40.078200,116.581530;40.078190,116.581530;40.078170,116.581560;40.078180,116.581510;40.078160,116.581520;40.078140,116.581510;40.078150,116.581500;40.078160,116.581510;40.078170,116.581560;40.078140,116.581560
40.006380,116.503360;39.996170,116.492080;39.986060,116.480980;39.967100,116.459930;39.949580,116.440380;39.948470,116.440740;39.945280,116.444180;39.940290,116.444140;39.938900,116.444160;39.936230,116.444200;39.932860,116.444060;39.931870,116.444070;39.926350,116.444070;39.921700,116.443920;39.922020,116.439360;39.922500,116.436850;39.922810,116.434630
39.967600,116.421840;39.944270,116.455470;39.943960,116.455880;39.944810,116.455870;39.946560,116.461110;39.946480,116.462500;39.936140,116.468610;39.926420,116.466950;39.921990,116.463150;39.907010,116.455420;39.906890,116.465530;39.906890,116.465760;39.906620,116.470600;39.906760,116.472510;39.909620,116.483860;39.915080,116.509410;39.912650,116.510650
39.795120,116.474670;39.795240,116.474870;39.795790,116.472920;39.797630,116.471800;39.800010,116.474120;39.800000,116.474220;39.799970,116.474240;39.800000,116.474210;39.802730,116.471700;39.802800,116.471620;39.807000,116.466640;39.807030,116.466620;39.807100,116.466570;39.819850,116.495770;39.820100,116.522130;39.818380,116.574210;39.840450,116.596330
