39.611500,116.686080;39.626730,116.657070;39.643000,116.619270;39.685280,116.574550
39.937110,116.444160;39.948520,116.440780;39.946880,116.443080;39.950980,116.451050
39.946000,116.455510;39.939910,116.445560;39.932720,116.444060;39.939580,116.432530
39.911860,116.375570;39.899010,116.389790;39.881650,116.392640;39.864630,116.415510
39.929820,116.490020;39.921680,116.478800;39.921700,116.445660;39.916330,116.439570
39.954790,116.446490;39.958910,116.451120;39.967610,116.460850;39.970630,116.464660
39.968050,116.421690;39.967980,116.419620;39.967970,116.418470;39.967840,116.414660
39.999470,116.452030;39.999580,116.455760;39.999580,116.456170;39.999810,116.456660
39.886510,116.642360;39.886840,116.642240;39.886540,116.641990;39.886840,116.642240
39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886540,116.641990
39.886540,116.641990;39.774070,116.659800;39.886510,116.642360;39.886840,116.642240
39.872160,116.630110;39.886800,116.642010;39.886540,116.641990;39.774070,116.659800
39.966990,116.390040;39.975410,116.411450;39.980180,116.427330;39.982120,116.421400
39.901530,116.367820;39.899910,116.367820;39.898940,116.367880;39.887890,116.380290
39.911120,116.495500;39.911130,116.495570;39.910820,116.495150;39.910820,116.495120
39.905650,116.411630;39.905680,116.411570;39.905670,116.411610;39.905620,116.411610
40.078190,116.581540;40.078150,116.581530;40.078160,116.581530;40.078170,116.581540
40.006380,116.503360;39.996170,116.492080;39.986060,116.480980;39.967100,116.459930
39.967600,116.421840;39.944270,116.455470;39.943960,116.455880;39.944810,116.455870
39.795120,116.474670;39.795240,116.474870;39.795790,116.472920;39.797630,116.471800
39.146500,117.139470;39.146530,117.139450;39.146520,117.139490;39.146500,117.139460
40.064130,116.582850;40.050340,116.582620;40.033960,116.563870;40.027260,116.547360
40.041640,116.250840;40.043080,116.247250;40.044750,116.241620;40.044700,116.238980
39.998360,116.347070;39.998340,116.347030;39.998510,116.347010;39.999440,116.346850
40.000010,116.358010;40.000010,116.358000;40.000020,116.359320;40.000220,116.367180
39.958530,116.296480;39.958520,116.296460;39.959240,116.298640;39.959750,116.299810
39.979130,116.352550;39.977100,116.352670;39.975300,116.352690;39.975460,116.349570
40.077540,116.365310;40.077150,116.365390;40.076970,116.365030;40.077540,116.365310
39.840440,116.380500;39.840660,116.380480;39.841270,116.380430;39.841890,116.380430
39.934550,116.100870;39.935410,116.100480;39.929530,116.106370;39.929500,116.106470
39.837160,116.280480;39.829250,116.299860;39.829210,116.313310;39.829650,116.338960
39.898410,116.375660;39.909830,116.367720;39.916620,116.358860;39.931630,116.361920
39.914970,116.444130;39.915000,116.444160;39.916100,116.444030;39.920640,116.444210
39.987650,116.482120;39.987670,116.482100;39.986050,116.479740;39.984280,116.475040
