39.611500,116.686080;39.626730,116.657070;39.643000,116.619270;39.685280,116.574550;39.722350,116.566760;39.736960,116.550500;39.753950,116.540020;39.773530,116.527250;39.798310,116.499070;39.797700,116.488590;39.799830,116.478550;39.799790,116.478480;39.799500,116.474500;39.799420,116.474520;39.799480,116.474520;39.818860,116.453250;39.829430,116.441650;39.842600,116.440850;39.842840,116.440820;39.842960,116.440800;39.844400,116.436810;39.845230,116.422240;39.845240,116.422240;39.847680,116.422240;39.848160,116.426430;39.848160,116.426550;39.848160,116.426810;39.848150,116.427010;39.848660,116.427450;39.856640,116.426010;39.866630,116.424260;39.867710,116.424210;39.867680,116.424160;39.867650,116.424150;39.867180,116.427620
39.937110,116.444160;39.948520,116.440780;39.946880,116.443080;39.950980,116.451050;39.942620,116.439230;39.939590,116.422900;39.948100,116.422330;39.922480,116.427790;39.921470,116.443710;39.948040,116.431690;39.991220,116.464500;39.965430,116.449510;39.959630,116.478500;39.931210,116.476030;39.932380,116.472050;39.933680,116.455870;39.958480,116.447930;39.946430,116.443750;39.937610,116.449280;39.926120,116.444120;39.916400,116.444140;39.914240,116.433630;39.936800,116.444210;39.943350,116.428030;39.956740,116.401590;39.939910,116.402270;39.939660,116.418860;39.925280,116.427850;39.946480,116.427300;39.947530,116.371450;39.975080,116.342910;39.966470,116.333290;39.947240,116.315910;39.938250,116.319330;39.921670,116.328050
39.946000,116.455510;39.939910,116.445560;39.932720,116.444060;39.939580,116.432530;39.935340,116.443370;39.925590,116.447870;39.939980,116.451190;39.928860,116.455260;39.902810,116.455460;39.863260,116.450630;39.857150,116.422570;39.858650,116.444560;39.865330,116.453870;39.882500,116.471300;39.905900,116.471800;39.928470,116.475040;39.932980,116.484130;39.933230,116.484120;39.965460,116.471580;39.969940,116.465640;39.963110,116.438110;39.981180,116.382740;39.947710,116.405760;39.923980,116.427910;39.916370,116.442020;39.921840,116.446210;39.922550,116.435230;39.902700,116.357000;39.886200,116.357370;39.878770,116.367980;39.869740,116.419790;39.880330,116.441320;39.871070,116.454540;39.864980,116.452480;39.870110,116.466620
39.911860,116.375570;39.899010,116.389790;39.881650,116.392640;39.864630,116.415510;39.885900,116.413310;39.888040,116.368210;39.886960,116.308940;39.879480,116.368040;39.897800,116.368270;39.905370,116.289080;39.904730,116.305000;39.884090,116.304280;39.887700,116.314680;39.895960,116.317780;39.910930,116.328490;39.948560,116.318110;39.985640,116.358600;39.991250,116.361010;40.007330,116.330060;39.991850,116.330840;39.990430,116.331080;39.953150,116.373010;39.947570,116.426550;39.939580,116.414420;39.939580,116.411510;39.947710,116.397260;39.954230,116.349010;39.951710,116.355390;39.947720,116.365690;39.942940,116.374400;39.937730,116.387090;39.939030,116.387070;39.938050,116.396880;39.945460,116.402080;39.945470,116.402080
39.929820,116.490020;39.921680,116.478800;39.921700,116.445660;39.916330,116.439570;39.905120,116.429190;39.906970,116.466360;39.903330,116.523130;39.891950,116.504580;39.906550,116.490250;39.895040,116.483930;39.870200,116.466040;39.881700,116.455260;39.880280,116.441730;39.867800,116.454630;39.846030,116.479650;39.839350,116.505300;39.845250,116.480460;39.874650,116.471240;39.897480,116.471490;39.913950,116.471860;39.932420,116.476380;39.952420,116.494430;39.956130,116.506900;39.958200,116.484910;39.930240,116.497700;39.913090,116.483570;39.921700,116.469810;39.919920,116.455560;39.901050,116.484040;39.914430,116.471880;39.915430,116.513310;39.914280,116.484440;39.926920,116.473200;39.887850,116.483320;39.921320,116.478580
39.954790,116.446490;39.958910,116.451120;39.967610,116.460850;39.970630,116.464660;39.969520,116.464520;39.974230,116.456980;39.983390,116.443190;39.985440,116.439430;39.988330,116.438870;39.993210,116.441610;39.995040,116.446910;39.995600,116.448730;39.996380,116.451530;39.999130,116.451590;39.998890,116.450430;39.998580,116.449140;39.998440,116.449130;39.998400,116.449140;39.998390,116.449180;39.998320,116.449360;39.998290,116.449340;39.998280,116.449430;39.998330,116.450220;39.998920,116.451070;39.997010,116.451370;39.995510,116.451340;39.993750,116.451240;39.991500,116.451100;39.989680,116.451040;39.987170,116.450840;39.981290,116.450040;39.979970,116.449150;39.979980,116.449140;39.979950,116.449150;39.979940,116.449160
39.968050,116.421690;39.967980,116.419620;39.967970,116.418470;39.967840,116.414660;39.967660,116.407920;39.967600,116.405300;39.967370,116.395840;39.967220,116.390250;39.967110,116.387250;39.967020,116.383700;39.966920,116.380100;39.966920,116.378150;39.966860,116.375880;39.966860,116.373790;39.966780,116.371560;39.966710,116.368660;39.966510,116.361570;39.966420,116.357100;39.966390,116.352930;39.966430,116.349140;39.966410,116.346440;39.966460,116.340790;39.966480,116.340400;39.966460,116.339980;39.966430,116.338990;39.966460,116.338410;39.966480,116.335670;39.966450,116.335440;39.966470,116.334770;39.966430,116.333570;39.966410,116.333530;39.966400,116.333320;39.966420,116.332930;39.966420,116.332880;39.966440,116.332650
39.999470,116.452030;39.999580,116.455760;39.999580,116.456170;39.999810,116.456660;40.003360,116.456900;40.003510,116.458380;40.003320,116.458740;40.003380,116.460240;40.010040,116.461240;40.010040,116.461250;40.010030,116.461240;40.010140,116.461130;40.010310,116.457400;40.010310,116.456910;40.010300,116.456900;40.010340,116.455350;40.010380,116.455350;40.007360,116.451840;40.005250,116.451720;40.001790,116.451540;40.000280,116.451500;39.997970,116.451390;39.995520,116.451250;39.994340,116.451200;39.994050,116.451150;39.991580,116.451070;39.991310,116.451100;39.988930,116.451050;39.986080,116.450840;39.981810,116.450270;39.981570,116.450110;39.980630,116.449490;39.980620,116.449480;39.979700,116.448930;39.978030,116.450610
39.886510,116.642360;39.886840,116.642240;39.886540,116.641990;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886510,116.642360;39.886800,116.642010;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886840,116.642240;39.886510,116.642360;39.886840,116.642240;39.886540,116.641990;39.886840,116.642240;39.886800,116.642010;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240
39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886510,116.642360;39.886840,116.642240;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886510,116.642360;39.886800,116.642010;39.886540,116.641990
39.886540,116.641990;39.774070,116.659800;39.886510,116.642360;39.886840,116.642240;39.872160,116.630110;39.886800,116.642010;39.872250,116.630230;39.886540,116.641990;39.774070,116.659800;39.886510,116.642360;39.886840,116.642240;39.872160,116.630110;39.886800,116.642010;39.872250,116.630230;39.886540,116.641990;39.774070,116.659800;39.886510,116.642360;39.872160,116.630110;39.886800,116.642010;39.872250,116.630230;39.886540,116.641990;39.774070,116.659800;39.886510,116.642360;39.886840,116.642240;39.872160,116.630110;39.886800,116.642010;39.872250,116.630230;39.886540,116.641990;39.774070,116.659800;39.886510,116.642360;39.886840,116.642240;39.872160,116.630110;39.886800,116.642010;39.886540,116.641990;39.774070,116.659800
