39.611500,116.686080;39.626730,116.657070;39.643000,116.619270;39.685280,116.574550;39.722350,116.566760;39.736960,116.550500;39.753950,116.540020;39.773530,116.527250;39.798310,116.499070;39.797700,116.488590
39.937110,116.444160;39.948520,116.440780;39.946880,116.443080;39.950980,116.451050;39.942620,116.439230;39.939590,116.422900;39.948100,116.422330;39.922480,116.427790;39.921470,116.443710;39.948040,116.431690
39.946000,116.455510;39.939910,116.445560;39.932720,116.444060;39.939580,116.432530;39.935340,116.443370;39.925590,116.447870;39.939980,116.451190;39.928860,116.455260;39.902810,116.455460;39.863260,116.450630
39.911860,116.375570;39.899010,116.389790;39.881650,116.392640;39.864630,116.415510;39.885900,116.413310;39.888040,116.368210;39.886960,116.308940;39.879480,116.368040;39.897800,116.368270;39.905370,116.289080
39.929820,116.490020;39.921680,116.478800;39.921700,116.445660;39.916330,116.439570;39.905120,116.429190;39.906970,116.466360;39.903330,116.523130;39.891950,116.504580;39.906550,116.490250;39.895040,116.483930
39.954790,116.446490;39.958910,116.451120;39.967610,116.460850;39.970630,116.464660;39.969520,116.464520;39.974230,116.456980;39.983390,116.443190;39.985440,116.439430;39.988330,116.438870;39.993210,116.441610
39.968050,116.421690;39.967980,116.419620;39.967970,116.418470;39.967840,116.414660;39.967660,116.407920;39.967600,116.405300;39.967370,116.395840;39.967220,116.390250;39.967110,116.387250;39.967020,116.383700
39.999470,116.452030;39.999580,116.455760;39.999580,116.456170;39.999810,116.456660;40.003360,116.456900;40.003510,116.458380;40.003320,116.458740;40.003380,116.460240;40.010040,116.461240;40.010040,116.461250
39.886510,116.642360;39.886840,116.642240;39.886540,116.641990;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010;39.886540,116.641990
39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886540,116.641990;39.886510,116.642360;39.886840,116.642240;39.886800,116.642010
39.886540,116.641990;39.774070,116.659800;39.886510,116.642360;39.886840,116.642240;39.872160,116.630110;39.886800,116.642010;39.872250,116.630230;39.886540,116.641990;39.774070,116.659800;39.886510,116.642360
